Date:	9/24/2020
Time:	2:28 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:27:55.007  	16.353	79.98	5.5	0.15	0.20	0.12	-0.053	Normal	
20200924 14:27:55.109  	16.343	79.95	5.7	0.15	0.20	0.12	-0.054	Normal	
20200924 14:27:55.240  	16.381	80.05	6.0	0.20	0.19	0.17	-0.054	Normal	
20200924 14:27:55.340  	16.408	80.11	6.0	0.21	0.19	0.18	-0.054	Normal	
20200924 14:27:55.441  	16.392	80.07	6.1	0.21	0.18	0.18	-0.054	Normal	
20200924 14:27:55.573  	16.392	80.07	6.1	0.22	0.14	0.18	-0.054	Normal	
20200924 14:27:55.707  	16.342	79.95	6.1	0.20	0.12	0.17	-0.054	Normal	
20200924 14:27:55.807  	16.229	79.67	6.3	0.20	0.10	0.17	-0.054	Normal	
20200924 14:27:55.936  	16.103	79.37	6.6	0.20	0.10	0.17	-0.054	Normal	
20200924 14:27:56.066  	15.946	78.98	6.9	0.20	0.10	0.18	-0.055	Normal	
20200924 14:27:56.196  	15.843	78.72	7.1	0.24	0.10	0.22	-0.055	Normal	
20200924 14:27:56.327  	15.807	78.63	7.1	0.25	0.10	0.22	-0.055	Normal	
20200924 14:27:56.459  	15.769	78.54	7.1	0.25	0.04	0.23	-0.055	Normal	
20200924 14:27:56.591  	15.779	78.56	7.1	0.27	0.02	0.24	-0.054	Normal	
20200924 14:27:56.692  	15.827	78.68	7.3	0.26	0.02	0.23	-0.054	Normal	
20200924 14:27:56.792  	15.893	78.85	7.8	0.27	0.02	0.24	-0.053	Normal	
20200924 14:27:56.891  	15.927	78.93	8.0	0.29	0.02	0.27	-0.053	Normal	
20200924 14:27:56.992  	15.958	79.01	8.2	0.30	0.01	0.29	-0.054	Normal	
20200924 14:27:57.123  	15.980	79.06	8.2	0.34	-0.05	0.32	-0.054	Normal	
20200924 14:27:57.225  	15.962	79.02	8.2	0.34	-0.11	0.32	-0.054	Normal	
20200924 14:27:57.323  	15.952	78.99	8.2	0.34	-0.12	0.32	-0.054	Normal	
20200924 14:27:57.423  	15.983	79.07	8.2	0.34	-0.13	0.33	-0.054	Normal	
20200924 14:27:57.524  	15.992	79.09	8.3	0.34	-0.14	0.33	-0.054	Normal	
20200924 14:27:57.624  	15.994	79.10	8.6	0.35	-0.14	0.33	-0.055	Normal	
20200924 14:27:57.724  	16.012	79.14	8.9	0.35	-0.15	0.33	-0.055	Normal	
20200924 14:27:57.825  	16.029	79.18	9.1	0.37	-0.15	0.35	-0.055	Normal	
20200924 14:27:57.958  	16.011	79.14	9.2	0.38	-0.16	0.38	-0.054	Normal	
20200924 14:27:58.058  	15.961	79.01	9.3	0.40	-0.23	0.38	-0.054	Normal	
20200924 14:27:58.158  	15.883	78.82	9.3	0.40	-0.24	0.39	-0.054	Normal	
20200924 14:27:58.260  	15.847	78.73	9.3	0.40	-0.26	0.39	-0.054	Normal	
20200924 14:27:58.359  	15.835	78.70	9.3	0.41	-0.26	0.40	-0.054	Normal	
20200924 14:27:58.462  	15.809	78.64	9.6	0.41	-0.26	0.40	-0.054	Normal	
20200924 14:27:58.595  	15.780	78.56	10.2	0.42	-0.28	0.41	-0.054	Normal	
20200924 14:27:58.726  	15.727	78.43	10.3	0.43	-0.29	0.43	-0.054	Normal	
20200924 14:27:58.828  	15.683	78.32	10.3	0.44	-0.33	0.44	-0.054	Normal	
20200924 14:27:58.928  	15.637	78.21	10.3	0.44	-0.35	0.44	-0.054	Normal	
20200924 14:27:59.031  	15.568	78.03	10.3	0.45	-0.37	0.45	-0.054	Normal	
20200924 14:27:59.133  	15.515	77.90	10.3	0.44	-0.38	0.44	-0.054	Normal	
20200924 14:27:59.234  	15.473	77.80	10.6	0.45	-0.38	0.45	-0.055	Normal	
20200924 14:27:59.334  	15.483	77.82	10.9	0.46	-0.37	0.45	-0.055	Normal	
20200924 14:27:59.465  	15.495	77.85	11.5	0.47	-0.38	0.47	-0.056	Normal	
20200924 14:27:59.595  	15.600	78.12	11.4	0.49	-0.39	0.50	-0.056	Normal	
20200924 14:27:59.727  	15.670	78.29	11.5	0.51	-0.43	0.52	-0.055	Normal	
20200924 14:27:59.857  	15.705	78.38	11.5	0.52	-0.46	0.53	-0.055	Normal	
20200924 14:27:59.959  	15.693	78.35	11.5	0.52	-0.48	0.53	-0.055	Normal	
20200924 14:28:00.058  	15.721	78.42	11.7	0.51	-0.50	0.51	-0.054	Normal	
20200924 14:28:00.159  	15.693	78.35	11.9	0.51	-0.51	0.51	-0.054	Normal	
20200924 14:28:00.259  	15.643	78.22	12.2	0.51	-0.51	0.51	-0.054	Normal	
20200924 14:28:00.361  	15.629	78.19	12.4	0.53	-0.51	0.53	-0.054	Normal	
20200924 14:28:00.491  	15.548	77.98	12.4	0.53	-0.52	0.54	-0.054	Normal	
20200924 14:28:00.592  	15.506	77.88	12.4	0.54	-0.55	0.54	-0.054	Normal	
20200924 14:28:00.725  	15.447	77.73	12.4	0.54	-0.56	0.54	-0.054	Normal	
20200924 14:28:00.826  	15.426	77.68	12.4	0.53	-0.59	0.54	-0.054	Normal	
20200924 14:28:00.958  	15.351	77.49	13.0	0.54	-0.59	0.54	-0.054	Normal	
20200924 14:28:01.060  	15.312	77.39	13.2	0.55	-0.59	0.54	-0.054	Normal	
20200924 14:28:01.160  	15.325	77.42	13.5	0.55	-0.56	0.56	-0.054	Normal	
20200924 14:28:01.292  	15.372	77.54	13.8	0.57	-0.54	0.58	-0.054	Normal	
20200924 14:28:01.392  	15.369	77.53	13.8	0.58	-0.56	0.58	-0.054	Normal	
20200924 14:28:01.494  	15.362	77.52	13.8	0.58	-0.59	0.59	-0.054	Normal	
20200924 14:28:01.593  	15.420	77.66	13.8	0.58	-0.63	0.59	-0.054	Normal	
20200924 14:28:01.726  	15.513	77.90	13.9	0.60	-0.66	0.61	-0.054	Normal	
20200924 14:28:01.857  	15.513	77.90	14.5	0.60	-0.67	0.61	-0.054	Normal	
20200924 14:28:01.990  	15.447	77.73	14.7	0.58	-0.71	0.58	-0.054	Normal	
20200924 14:28:02.091  	15.453	77.74	14.7	0.56	-0.75	0.54	-0.054	Normal	
20200924 14:28:02.191  	15.424	77.67	14.8	0.52	-0.81	0.52	-0.054	Normal	
20200924 14:28:02.291  	15.345	77.47	14.7	0.45	-0.90	0.44	-0.054	Normal	
20200924 14:28:02.391  	15.187	77.07	14.8	0.37	-0.92	0.34	-0.055	Normal	
20200924 14:28:02.522  	15.055	76.74	14.8	0.36	-0.94	0.33	-0.055	Normal	
20200924 14:28:02.622  	15.044	76.71	14.9	0.36	-0.95	0.34	-0.055	Normal	
20200924 14:28:02.724  	15.043	76.71	15.1	0.38	-0.95	0.34	-0.055	Normal	
20200924 14:28:02.824  	14.968	76.52	15.4	0.39	-0.99	0.36	-0.055	Normal	
20200924 14:28:02.926  	14.965	76.51	15.5	0.38	-0.95	0.36	-0.055	Normal	
20200924 14:28:03.028  	14.963	76.50	15.7	0.38	-0.96	0.36	-0.055	Normal	
20200924 14:28:03.161  	14.994	76.58	15.7	0.37	-0.97	0.33	-0.054	Normal	
20200924 14:28:03.292  	14.878	76.29	15.7	0.33	-0.97	0.29	-0.054	Normal	
20200924 14:28:03.391  	14.689	75.80	15.7	0.28	-0.97	0.27	-0.054	Normal	
20200924 14:28:03.523  	14.475	75.24	15.7	0.28	-0.95	0.26	-0.054	Normal	
20200924 14:28:03.655  	14.231	74.61	15.9	0.27	-0.93	0.26	-0.055	Normal	
20200924 14:28:03.757  	14.027	74.07	16.0	0.28	-0.93	0.26	-0.055	Normal	
20200924 14:28:03.857  	13.900	73.74	16.2	0.27	-0.91	0.25	-0.055	Normal	
