Date:	9/24/2020
Time:	2:38 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:38:33.572  	4.513	42.01	-2.0	0.03	0.07	0.04	-0.075	Normal	
20200924 14:38:33.704  	4.620	42.51	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:33.804  	4.697	42.86	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:33.904  	4.785	43.26	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.007  	4.884	43.71	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.136  	5.005	44.25	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.238  	5.073	44.54	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.370  	5.174	44.99	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.470  	5.250	45.32	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.570  	5.316	45.60	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.670  	5.374	45.85	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:34.801  	5.460	46.22	-2.0	0.03	0.08	0.05	-0.077	Normal	
20200924 14:38:34.902  	5.542	46.56	-2.0	0.03	0.08	0.05	-0.077	Normal	
20200924 14:38:35.001  	5.612	46.85	-2.0	0.03	0.08	0.05	-0.077	Normal	
20200924 14:38:35.103  	5.719	47.30	-2.0	0.03	0.08	0.04	-0.077	Normal	
20200924 14:38:35.204  	5.828	47.74	-2.0	0.03	0.09	0.04	-0.077	Normal	
20200924 14:38:35.305  	5.945	48.22	-2.0	0.03	0.09	0.04	-0.077	Normal	
20200924 14:38:35.438  	6.108	48.88	-2.0	0.03	0.09	0.04	-0.076	Normal	
20200924 14:38:35.569  	6.265	49.50	-2.0	0.03	0.10	0.04	-0.076	Normal	
20200924 14:38:35.670  	6.396	50.02	-2.0	0.03	0.11	0.04	-0.076	Normal	
20200924 14:38:35.803  	6.546	50.60	-2.0	0.03	0.12	0.04	-0.076	Normal	
20200924 14:38:35.903  	6.656	51.02	-2.0	0.03	0.13	0.04	-0.076	Normal	
20200924 14:38:36.005  	6.770	51.46	-2.0	0.03	0.13	0.04	-0.076	Normal	
20200924 14:38:36.104  	6.886	51.90	-2.0	0.03	0.13	0.04	-0.076	Normal	
20200924 14:38:36.237  	7.051	52.52	-2.0	0.03	0.14	0.04	-0.076	Normal	
20200924 14:38:36.339  	7.171	52.96	-2.0	0.04	0.19	0.05	-0.076	Normal	
20200924 14:38:36.470  	7.325	53.53	-2.0	0.05	0.20	0.06	-0.076	Normal	
20200924 14:38:36.571  	7.439	53.94	-2.0	0.06	0.20	0.07	-0.076	Normal	
20200924 14:38:36.671  	7.540	54.31	-2.0	0.06	0.20	0.08	-0.076	Normal	
20200924 14:38:36.772  	7.655	54.72	-2.0	0.06	0.20	0.08	-0.076	Normal	
20200924 14:38:36.904  	7.807	55.26	-2.0	0.06	0.21	0.07	-0.076	Normal	
