Date:	9/24/2020
Time:	2:23 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:22:43.559  	7.367	53.68	4.9	0.09	0.11	0.09	-0.044	Normal	
20200924 14:22:43.660  	7.432	53.92	4.9	0.09	0.11	0.09	-0.044	Normal	
20200924 14:22:43.792  	7.454	54.00	4.9	0.09	0.11	0.09	-0.044	Normal	
20200924 14:22:43.925  	7.439	53.94	4.9	0.08	0.10	0.08	-0.044	Normal	
20200924 14:22:44.026  	7.419	53.87	5.2	0.07	0.09	0.07	-0.044	Normal	
20200924 14:22:44.159  	7.368	53.68	5.2	0.07	0.08	0.07	-0.044	Normal	
20200924 14:22:44.260  	7.320	53.51	5.5	0.07	0.08	0.07	-0.044	Normal	
20200924 14:22:44.363  	7.244	53.23	5.5	0.07	0.08	0.07	-0.044	Normal	
20200924 14:22:44.462  	7.191	53.03	5.7	0.07	0.08	0.07	-0.044	Normal	
20200924 14:22:44.594  	7.149	52.88	6.0	0.08	0.08	0.08	-0.044	Normal	
20200924 14:22:44.695  	7.143	52.86	6.2	0.08	0.08	0.08	-0.044	Normal	
20200924 14:22:44.827  	7.121	52.78	6.2	0.08	0.07	0.08	-0.044	Normal	
20200924 14:22:44.929  	7.095	52.68	6.2	0.08	0.07	0.08	-0.044	Normal	
20200924 14:22:45.027  	7.062	52.56	6.2	0.08	0.05	0.08	-0.044	Normal	
20200924 14:22:45.127  	7.029	52.43	6.2	0.08	0.04	0.08	-0.044	Normal	
20200924 14:22:45.259  	6.974	52.23	6.4	0.07	0.02	0.07	-0.044	Normal	
20200924 14:22:45.363  	6.932	52.07	6.4	0.07	0.02	0.07	-0.044	Normal	
20200924 14:22:45.462  	6.896	51.94	6.7	0.08	0.02	0.07	-0.045	Normal	
20200924 14:22:45.564  	6.862	51.81	7.0	0.08	0.03	0.08	-0.044	Normal	
20200924 14:22:45.693  	6.831	51.69	7.1	0.08	0.03	0.08	-0.045	Normal	
20200924 14:22:45.795  	6.806	51.60	7.4	0.09	0.03	0.08	-0.045	Normal	
20200924 14:22:45.926  	6.779	51.49	7.4	0.09	0.03	0.08	-0.044	Normal	
20200924 14:22:46.026  	6.766	51.45	7.5	0.08	0.01	0.08	-0.044	Normal	
20200924 14:22:46.127  	6.749	51.38	7.5	0.03	0.00	0.02	-0.044	Normal	
20200924 14:22:46.227  	6.751	51.39	7.5	0.02	-0.01	0.01	-0.044	Normal	
20200924 14:22:46.327  	6.738	51.34	7.5	0.01	-0.03	0.00	-0.044	Normal	
20200924 14:22:46.427  	6.753	51.39	7.7	0.02	-0.04	0.00	-0.044	Normal	
20200924 14:22:46.560  	6.781	51.50	7.9	0.02	-0.04	0.00	-0.044	Normal	
20200924 14:22:46.660  	6.782	51.51	8.0	0.02	-0.04	0.01	-0.044	Normal	
20200924 14:22:46.761  	6.760	51.42	8.2	0.03	-0.04	0.02	-0.044	Normal	
20200924 14:22:46.863  	6.752	51.39	8.5	0.04	-0.05	0.02	-0.044	Normal	
20200924 14:22:46.993  	6.752	51.39	8.6	0.04	-0.06	0.03	-0.044	Normal	
20200924 14:22:47.093  	6.738	51.34	8.9	0.04	-0.07	0.03	-0.044	Normal	
20200924 14:22:47.193  	6.717	51.26	9.0	0.04	-0.07	0.03	-0.044	Normal	
20200924 14:22:47.295  	6.698	51.18	9.0	0.05	-0.08	0.04	-0.044	Normal	
20200924 14:22:47.426  	6.694	51.17	9.0	0.05	-0.09	0.04	-0.044	Normal	
20200924 14:22:47.558  	6.678	51.11	9.0	0.05	-0.11	0.04	-0.044	Normal	
20200924 14:22:47.660  	6.665	51.06	9.1	0.05	-0.11	0.04	-0.043	Normal	
20200924 14:22:47.759  	6.653	51.01	9.2	0.05	-0.12	0.04	-0.044	Normal	
20200924 14:22:47.863  	6.631	50.93	9.4	0.05	-0.12	0.04	-0.044	Normal	
20200924 14:22:47.965  	6.632	50.93	9.4	0.06	-0.12	0.05	-0.044	Normal	
20200924 14:22:48.098  	6.632	50.93	9.6	0.06	-0.12	0.05	-0.043	Normal	
20200924 14:22:48.228  	6.617	50.87	9.7	0.07	-0.12	0.05	-0.043	Normal	
20200924 14:22:48.328  	6.630	50.93	9.8	0.07	-0.12	0.06	-0.043	Normal	
20200924 14:22:48.428  	6.631	50.93	9.8	0.07	-0.13	0.06	-0.043	Normal	
20200924 14:22:48.559  	6.646	50.99	9.8	0.07	-0.15	0.06	-0.043	Normal	
20200924 14:22:48.659  	6.646	50.99	9.8	0.07	-0.16	0.06	-0.043	Normal	
20200924 14:22:48.760  	6.637	50.95	9.8	0.07	-0.16	0.06	-0.044	Normal	
20200924 14:22:48.861  	6.641	50.97	9.9	0.07	-0.17	0.06	-0.044	Normal	
20200924 14:22:48.960  	6.627	50.91	10.1	0.07	-0.17	0.06	-0.044	Normal	
20200924 14:22:49.060  	6.607	50.84	10.2	0.07	-0.17	0.06	-0.044	Normal	
20200924 14:22:49.161  	6.601	50.81	10.3	0.07	-0.17	0.06	-0.044	Normal	
20200924 14:22:49.261  	6.600	50.81	10.3	0.07	-0.17	0.06	-0.043	Normal	
20200924 14:22:49.361  	6.603	50.82	10.4	0.08	-0.17	0.06	-0.043	Normal	
20200924 14:22:49.494  	6.612	50.86	10.6	0.08	-0.17	0.07	-0.043	Normal	
20200924 14:22:49.594  	6.615	50.87	10.5	0.08	-0.18	0.07	-0.043	Normal	
20200924 14:22:49.726  	6.594	50.79	10.5	0.08	-0.18	0.06	-0.044	Normal	
20200924 14:22:49.826  	6.566	50.68	10.5	0.08	-0.19	0.06	-0.044	Normal	
20200924 14:22:49.926  	6.516	50.48	10.6	0.08	-0.21	0.06	-0.044	Normal	
20200924 14:22:50.028  	6.459	50.26	10.7	0.07	-0.21	0.06	-0.044	Normal	
20200924 14:22:50.128  	6.418	50.10	10.8	0.07	-0.22	0.05	-0.044	Normal	
