Date:	9/10/2011
Time:	5:24 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20110910 17:13:21.947  	35.954	118.59	18.0	5.95	0.28	5.64	0.064	Normal	
20110910 17:14:36.543  	28.316	105.24	-4.0	-0.76	0.11	-1.46	0.065	Normal	
20110910 17:14:36.647  	28.371	105.34	-4.0	-0.77	0.14	-1.45	0.065	Normal	
20110910 17:14:36.777  	28.466	105.52	-4.0	-0.76	0.00	-1.46	0.065	Normal	
20110910 17:14:36.907  	28.607	105.78	-4.0	-0.76	0.11	-1.48	0.065	Normal	
20110910 17:14:37.037  	28.731	106.01	-4.0	-0.76	0.00	-1.48	0.065	Normal	
20110910 17:14:37.169  	28.768	106.08	-4.0	-0.76	0.08	-1.48	0.064	Normal	
20110910 17:14:37.299  	28.724	106.00	-4.0	-0.77	0.08	-1.47	0.064	Normal	
20110910 17:14:37.431  	28.669	105.89	-3.9	-0.77	0.06	-1.47	0.064	Normal	
20110910 17:14:37.532  	28.658	105.87	-3.7	-0.77	0.23	-1.41	0.064	Normal	
20110910 17:14:37.631  	28.563	105.70	-3.5	-0.73	0.07	-1.31	0.064	Normal	
20110910 17:14:41.682  	28.461	105.51	-2.0	-0.34	0.12	-0.91	0.064	Normal	
20110910 17:14:41.789  	28.417	105.43	-2.0	-0.32	0.05	-0.94	0.063	Normal	
20110910 17:14:41.918  	28.519	105.62	-2.0	-0.31	0.01	-0.94	0.063	Normal	
20110910 17:14:42.050  	28.656	105.87	-2.0	-0.32	0.14	-0.89	0.062	Normal	
20110910 17:14:42.181  	28.613	105.79	-2.0	-0.31	0.03	-0.93	0.063	Normal	
20110910 17:14:42.282  	28.643	105.85	-2.0	-0.33	0.15	-0.93	0.063	Normal	
20110910 17:14:42.381  	28.690	105.93	-2.0	-0.33	0.15	-0.93	0.063	Normal	
20110910 17:14:42.513  	28.612	105.79	-2.0	-0.32	0.10	-0.96	0.063	Normal	
20110910 17:14:42.614  	28.556	105.69	-2.0	-0.32	0.14	-0.96	0.064	Normal	
20110910 17:14:42.715  	28.451	105.49	-2.0	-0.30	0.07	-0.85	0.064	Normal	
20110910 17:14:48.449  	28.514	105.61	-0.0	0.14	0.21	-0.34	0.064	Normal	
20110910 17:14:48.552  	28.541	105.66	-0.0	0.15	0.18	-0.35	0.063	Normal	
20110910 17:14:48.684  	28.578	105.73	-0.0	0.15	0.23	-0.35	0.063	Normal	
20110910 17:14:48.815  	28.720	105.99	-0.0	0.15	0.25	-0.32	0.063	Normal	
20110910 17:14:48.947  	28.835	106.20	-0.0	0.15	0.20	-0.35	0.063	Normal	
20110910 17:14:49.077  	28.871	106.27	-0.0	0.15	0.24	-0.32	0.063	Normal	
20110910 17:14:49.205  	28.831	106.19	-0.0	0.18	0.09	-0.35	0.064	Normal	
20110910 17:14:49.336  	28.753	106.05	-0.0	0.14	0.24	-0.36	0.064	Normal	
20110910 17:14:49.467  	28.670	105.90	-0.0	0.14	0.19	-0.34	0.063	Normal	
20110910 17:14:49.596  	28.546	105.67	-0.0	0.16	0.07	-0.34	0.063	Normal	
20110910 17:14:59.265  	28.748	106.04	2.0	0.65	0.24	0.28	0.064	Normal	
20110910 17:14:59.368  	28.861	106.25	2.2	0.70	0.22	0.29	0.064	Normal	
20110910 17:14:59.500  	28.938	106.39	2.2	0.67	0.25	0.29	0.063	Normal	
20110910 17:14:59.630  	28.863	106.25	2.2	0.69	0.17	0.28	0.063	Normal	
20110910 17:14:59.731  	28.662	105.88	2.2	0.69	0.17	0.28	0.063	Normal	
20110910 17:14:59.860  	28.492	105.57	2.2	0.69	0.17	0.29	0.064	Normal	
20110910 17:14:59.959  	28.338	105.28	2.2	0.71	0.10	0.28	0.064	Normal	
20110910 17:15:00.059  	28.312	105.23	2.1	0.68	0.17	0.28	0.065	Normal	
